"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"2016","Italy","Total","From 15 to 74 years","Total","Percentage","11.7",""
"2016","Cyprus","Total","From 15 to 74 years","Total","Percentage","13.0",""
"2016","Latvia","Total","From 15 to 74 years","Total","Percentage","9.6",""
"2016","Lithuania","Total","From 15 to 74 years","Total","Percentage","7.9",""
"2016","Luxembourg","Total","From 15 to 74 years","Total","Percentage","6.3",""
"2016","Hungary","Total","From 15 to 74 years","Total","Percentage","5.1",""
"2016","Malta","Total","From 15 to 74 years","Total","Percentage","4.7",""
"2016","Netherlands","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2016","Austria","Total","From 15 to 74 years","Total","Percentage","6.0",""
"2016","Poland","Total","From 15 to 74 years","Total","Percentage","6.2",""
"2016","Portugal","Total","From 15 to 74 years","Total","Percentage","11.2",""
"2016","Romania","Total","From 15 to 74 years","Total","Percentage","5.9",""
"2016","Slovenia","Total","From 15 to 74 years","Total","Percentage","8.0",""
"2016","Slovakia","Total","From 15 to 74 years","Total","Percentage","9.7",""
"2016","Finland","Total","From 15 to 74 years","Total","Percentage","8.8",""
"2016","Sweden","Total","From 15 to 74 years","Total","Percentage","7.0",""
"2016","United Kingdom","Total","From 15 to 74 years","Total","Percentage","4.8",""
"2016","Iceland","Total","From 15 to 74 years","Total","Percentage","3.0",""
"2016","Norway","Total","From 15 to 74 years","Total","Percentage","4.7",""
"2016","Switzerland","Total","From 15 to 74 years","Total","Percentage","5.0",""
"2016","Former Yugoslav Republic of Macedonia, the","Total","From 15 to 74 years","Total","Percentage","23.7",""
"2016","Turkey","Total","From 15 to 74 years","Total","Percentage","10.9",""
